Nr;Driver in;Day time in;Time in;Driver out;Day time out;Time out;Nett Time;Reason;Lap In
12;Tom Kalender;21:09:48.265;3:10:29.850;Tom Kalender;21:11:21.026;3:12:02.611;1:32.761;;92
991;Darren Leung;21:10:04.478;3:10:46.063;James Kellett;21:11:32.087;3:12:13.672;1:27.609;;93
71;Malte Ebdrup;21:10:25.870;3:11:07.455;Simon Birch;21:11:52.873;3:12:34.458;1:27.003;;94
63;Franck Perera;21:10:43.994;3:11:25.579;Maximilian Paul;21:12:12.453;3:12:54.038;1:28.459;;93
80;Ricardo Feller;21:11:49.594;3:12:31.179; ;;;;;95
24;Lorenzo Fluxa Cross;21:13:23.544;3:14:05.129;Lorenzo Fluxa Cross;21:14:02.504;3:14:44.089;38.960;;94
45;Rafael Duran;21:15:20.449;3:16:02.034;Rafael Duran;21:15:59.227;3:16:40.812;38.778;;94
67;Jason Hart;21:18:56.007;3:19:37.592;Jason Hart;21:20:58.643;3:21:40.228;2:02.636;;93
2;Morris Schuring;21:19:20.296;3:20:01.881;Alessio Picariello;21:20:47.385;3:21:28.970;1:27.089;;99
87;Gabriele Piana;21:21:27.932;3:22:09.517;Gabriele Piana;21:22:55.282;3:23:36.867;1:27.350;;99
4;Adam Smalley;21:38:08.865;3:38:50.450;Harry George;21:40:07.893;3:40:49.478;1:59.028;;103
5;Dante Rappange;21:46:48.310;3:47:29.895;Dante Rappange;21:51:37.727;3:52:19.312;4:49.417;;112
96;Luca Engstler;21:48:27.589;3:49:09.174; ;;;;;110
45;Rafael Duran;21:53:49.370;3:54:30.955;David Perel;21:55:18.484;3:56:00.069;1:29.114;;113
64;Thomas Drouet;21:53:50.040;3:54:31.625;Thomas Drouet;21:54:29.204;3:55:10.789;39.164;;116
60;Rolf Ineichen;21:54:41.831;3:55:23.416;Tim Heinemann;22:10:39.781;4:11:21.366;15:57.950;;109
99;Dylan Pereira;21:55:57.424;3:56:39.009; ;;;;;117
97;Riccardo Pera;21:56:45.301;3:57:26.886;Loek Hartog;21:58:12.223;3:58:53.808;1:26.922;;117
59;Joseph Loake;21:56:54.868;3:57:36.453;Marvin Kirchhöfer;21:58:21.918;3:59:03.503;1:27.050;;118
46;Daniel Harper;21:57:44.514;3:58:26.099;Max Hesse;21:59:43.031;4:00:24.616;1:58.517;;118
6;Aurelien Panis;21:58:01.642;3:58:43.227;Cesar Gazeau;21:59:30.561;4:00:12.146;1:28.919;;117
84;Simon Reicher;21:58:55.066;3:59:36.651;Christopher Haase;22:00:23.271;4:01:04.856;1:28.205;;118
177;Stephane Tribaudini;21:59:11.769;3:59:53.354;Colin Caresani;22:00:41.403;4:01:22.988;1:29.634;;113
24;Lorenzo Fluxa Cross;21:59:15.029;3:59:56.614;Dennis Lind;22:01:14.465;4:01:56.050;1:59.436;;117
63;Maximilian Paul;21:59:21.457;4:00:03.042;Maximilian Paul;22:00:47.518;4:01:29.103;1:26.061;;117
7;Mattia Drudi;22:00:19.307;4:01:00.892;Mattia Drudi;22:01:46.262;4:02:27.847;1:26.955;;120
88;Daniele Di Amato;22:00:26.602;4:01:08.187;Alberto Di Folco;22:02:26.544;4:03:08.129;1:59.942;;117
11;Kyle Marcelli;22:00:46.860;4:01:28.445;Aaron Muss;22:02:15.234;4:02:56.819;1:28.374;;116
66;Rocco Mazzola;22:01:57.353;4:02:38.938; ;;;;;119
991;James Kellett;22:01:59.206;4:02:40.791;James Kellett;22:03:27.728;4:04:09.313;1:28.522;;119
914;Gerhard Tweraser;22:02:35.072;4:03:16.657;Benjamin Paque;22:04:37.962;4:05:19.547;2:02.890;;118
93;Chris Froggatt;22:03:47.895;4:04:29.480;Chris Froggatt;22:05:16.804;4:05:58.389;1:28.909;;119
25;Etienne Cheli;22:03:55.907;4:04:37.492;Ivan Klymenko;22:05:57.743;4:06:39.328;2:01.836;;120
56;Tom Wood;22:04:05.512;4:04:47.097;Giacomo Petrobelli;22:05:38.540;4:06:20.125;1:33.028;;119
30;Amaury Cordeel;22:04:35.480;4:05:17.065;Ignacio Montenegro;22:06:02.156;4:06:43.741;1:26.676;;121
50;Sean Gelael;22:04:58.646;4:05:40.231;Arthur Leclerc;22:06:25.342;4:07:06.927;1:26.696;;121
18;Roberto Merhi;22:05:57.680;4:06:39.265;Lance Stroll;22:09:41.541;4:10:23.126;3:43.861;;120
32;Charles Weerts;22:06:39.847;4:07:21.432;Jordan Pepper;22:08:06.117;4:08:47.702;1:26.270;;123
65;Maxime Oosten;22:06:40.549;4:07:22.134;Maxime Oosten;22:08:08.032;4:08:49.617;1:27.483;;122
21;Sebastien Baud;22:06:41.947;4:07:23.532;Oliver Söderström;22:08:11.307;4:08:52.892;1:29.360;;122
98;Jake Dennis;22:06:43.338;4:07:24.923;Raffaele Marciello;22:08:10.445;4:08:52.030;1:27.107;;123
42;Calan Williams;22:06:47.665;4:07:29.250;Javier Sagrera;22:08:16.022;4:08:57.607;1:28.357;;121
5;Dante Rappange;22:07:05.789;4:07:47.374; ;;;;;120
